"category","title","author","postTime","chgTime","contents"
"경제","늘어나는 ‘금수저’ 집주인들…미성년자 증여재산도 6000억원 돌파","세계일보","2018-10-13 14:02","2018-10-13 14:02","// flash 오류를 우회하기 위한 함수 추가function _flash_removeCallback() {}고가 주택 보유로 종합부동산세를 부담하는 20대 이하 집주인이 2010년 이후 처음으로 1000명을 넘어섰다. 지난해 서울 거주 미성년자가 물려받은 증여재산도 6000억원을 넘어서며 사상 최고치를 기록했다.13일 국회 국토교통위원회 소속 자유한국당 김상훈 의원이 국토교통부와 국세청으로부터 제출받은 ‘20대 이하 종합부동산세 결정 현황’ 자료에 따르면 과세연도 2016년 기준 주택보유로 인해 종부세를 낸 20대 이하는 1049명으로 총 납부 금액은 9억5000만원이었다.주택분 종부세를 낸 20대 이하는 2010년 790명, 2011년 702명, 2012년 660명, 2013년 468명으로 매년 줄다가 2014년 670명, 2015년 768명, 2016년 1049명으로 3년 연속 늘었다. 이에 따라 이들의 종부세액도 2013년 4억4800만원에서 2016년 9억5000만원으로 3년 만에 두배 이상 증가했다. 특히 2013년에는 주택(468명)보다 토지(488명) 소유에 따른 20대 이하 종부세 납입자가 더 많았지만, 2016년에는 주택(1049명)이 토지(544명)보다 많았다. 고액주택을 보유 또는 증여받은 20대 이하의 증가율이 그만큼 높아진 것이다.주택분 종부세를 내는 20대 이하 중 미성년자는 51명으로 한해 2300만원의 종부세를 냈다. 아울러 주택, 종합 및 별도 토지를 모두 합산한 20대 이하 종부세 대상자는 1557명 이었으며 종부세액은 22억9200만원이었다. 김 의원은 “주택 소유로 종부세를 내는 20대가 많아진 것은 갈수록 집이 부의 상징이자 증여의 주요 수단이 돼 가고 있음을 의미한다”며 “과세당국은 변칙, 편법 증여 여부를 철저히 살펴봐야 한다”고 말했다.한편 더불어민주당 강병원 의원이 국세청에서 받은 ‘미성년자(0~18세) 증여세 신고 납부 현황’에 따르면 지난해 서울 거주 미성년자가 물려받은 증여재산은 6169억원으로 사상 처음 5000억원을 넘겼다. 2014년(3762억원) 대비 3년새 63.9%(2407억원)가 급증했다. 미성년자가 내는 증여세도 지난해 1271억원으로 전년(875억원)보다 45.2% 많아졌다. 2014~2017년 서울에 사는 미성년자가 받은 증여재산은 모두 1조7091억원이다. 같은 기간 서울에서 발생한 증여세는 3790억원으로 집계됐다.지역별로는 서초·강남·송파 등 이른바 ‘강남 3구’와 마포·용산구에 사는 미성년자가 받은 증여재산이 4747억원으로 서울 전체 미성년자 증여재산(6169억원)의 76.9%를 차지했다. 증여세도 이들 5개 자치구에서만 1008억원이 부과됐다. 강 의원은 “미성년자 증여세 신고 납부 현황으로 한국사회 양극화가 심화되고 있다는 점을 알 수 있다”며 “사회 양극화 해소를 위한 안전망 확충, 소득주도성장 등 공동체 유지를 위한 복지정책을 적극 추진해야 할 때”라고 강조했다.김선영 기자 007@segye.comⓒ 세상을 보는 눈, 글로벌 미디어 세계일보"
"경제","온라인에 빼앗긴 고객 되돌아오게 하려면","중앙일보","2018-10-13 14:02","2018-10-13 14:02","// flash 오류를 우회하기 위한 함수 추가function _flash_removeCallback() {} ━   [더,오래] 김재홍의 퓨처스토어(13)              '팝업스토어'란 짧게는 2~3일, 길게는 3개월 미만으로 운영하는 매장을 의미한다. 짧은 기간 동안 브랜드의 핵심을 고객에게 전달하며 입소문 마케팅을 할 수 있는 장점이 있다. 사진은 멀티플레이어 온라인 배틀 아레나 게임 리그 오브 레전드 팝업스토어. [일간스포츠]                          ‘팝업스토어’란 짧게는 2~3일, 길게는 3개월 미만으로 운영하는 매장을 의미한다. 팝업스토어는 90년대 초반 뉴욕, 런던, 도쿄 등지에서 시작됐다. 짧은 기간 동안 브랜드의 핵심을 고객에게 전달하며 입소문 마케팅을 할 수 있는 장점이 있다. 특히 최근 인스타그램, 페이스북 등의 인기에 힘입어 오프라인뿐만 아니라 온라인으로 확장하며 예전보다 훨씬 강력한 홍보 효과를 만들고 있다.           그럼 팝업스토어의 미래는 어떻게 될까. 최근 동향을 보면 일반 매장과 유사한 흐름을 보일 것으로 예상한다. 많은 유통 매장이 폐점하거나 그 규모를 줄이는 추세다. 반대로 온라인 시장은 매년 20%씩 성장하고 있다.           모바일 시대가 오면서 온라인 구매가 그 어느 때보다 편리하게 되었다. 스마트폰으로 주문하면 당일 혹은 그다음 날 배송되니 굳이 쇼핑하러 오프라인에 갈 필요가 없어졌다.       서     최근 매장을 대폭 축소한 한 프랜차이즈 업체의 소식을 들었다. 모두가 매장을 축소할 것이라고 예상했으나 그렇지 않다는 이야기였다. 기존에 오프라인 매장에서 발생하던 매출이 내려가고 배달주문 서비스가 큰 인기를 얻으면서 굳이 불필요한 임대료를 낼 필요가 없어졌다. 불필요한 매장 수를 줄이고 딜리버리 서비스를 확대하면서 오히려 이익이 증가하게 되었다.           영원할 것만 같았던 유명 화장품, 패션 브랜드가 요즘 매우 당황스러워하고 있다. 온라인 구매를 즐기는 10대들을 겨냥해 오프라인 매장 없이 온라인으로 거대한 매출을 만드는 브랜드가 속속 등장하기 때문이다. 오프라인 매장 하나 없이 수백억 원대의 매출을 만드는 젊은 사장을 보면 그동안의 노력이 허사로 돌아가는 듯한 느낌을 받는다고 한다.          ━   온라인 고객 돌아오게 하는 '체험 마케팅'              온라인에서 보던 제품을 직접 오프라인에서 체험할 때의 충격은 비교가 되지 않을 정도로 강하게 작용한다. 사진은 지난 8월 코엑스 파르나스몰에 마련된 '갤럭시 스튜디오' 게임특화존에서 방문객들이 '갤럭시 노트9'으로 높은 사양 모바일 게임을 체험하고 있는 모습이다. [삼성전자 제공] (저작권자(c) 연합뉴스, 무단 전재-재배포 금지)                          그렇다면 오프라인에서 매장을 운영하는 것이 전혀 의미 없어진 걸까. 그렇지 않다. 이전과는 다른 의미에서 더욱 매장운영이 중요하게 되었다. 바로 ‘체험’이다. 백문이 불여일견이라고 온라인에서 보던 제품을 직접 오프라인에서 체험할 때의 충격은 비교가 되지 않을 정도로 강하게 작용한다.           하지만 이제 오프라인에서만 고집스럽게 사업을 할 수 있는 시대는 끝났다. 모바일 세계에서 고객과 소통하는 노력만으로 같은 맛을 가진 맛집이라도 전혀 다른 매출을 만들 수 있게 됐다. 팝업스토어 역시 마찬가지다. 오프라인에만 머무르는 것이 아니라 온라인과 긴밀한 연결을 가져가기 시작했다.           건강기구를 직접 제조·유통·판매까지 진행하는 H사는 온라인에서 규모 있는 매출을 만들면서 성장했다. 아쉽게도 성장세가 무뎌지면서 오프라인 팝업 스토어 운영을 통해 새로운 바이럴 마케팅을 폈다.           온라인에서 성장한 기업인만큼 오프라인 홍보 역시 데이터와 숫자 기반으로 진행했다. 고객 행동 데이터 서비스인 워크인 사이트를 통해 팝업스토어의 실제 효과를 측정했다. 결과는 충격적이었다. 지나가는 사람 중 2% 정도만 팝업스토어에 들어온다는 것을 발견했다. 100명이 지나가면 2명 정도만 팝업스토어에 들어온 것이다. 사실 크게 나쁘지 않은 일반적인 수준이지만 H사의 대표는 큰 충격을 받고 이 숫자를 더 높이길 원했다.           팝업스토어에 사이니지(공공장소나 사업공간에 설치되는 디스플레이)를 통해 시각적 효과를 극대화하고 특정 시간에 이벤트를 실시해 지나가는 사람의 이목을 끌었다. 매장 직원들도 직접 호객행위에 나섰다. 이러한 노력을 통해 방문율이 3배 성장하면서 팝업스토어는 엄청나게 붐비기 시작했다.           안타깝게도 결과가 좋지는 않았다. 매장 직원들이 상담을 소화하지 못할 뿐 아니라 건강기구에 관심이 없는 손님까지도 들어오다 보니 1분도 안 돼 상담을 끝내야 하는 비일비재했다. 저가의 상품이라면 이런 전략이 매출로 이어질지 모르지만 고가의 상품이다 보니 유의미한 결과가 나오지 않았다. 다른 전략이 필요했다.          ━   온라인·오프라인 두세계 연결해 활용해야              네이버의 캐릭터 전문 자회사인 라인프렌즈가 미국 로스앤젤레스(LA)에 3개월 동안 한시적으로 운영되는 팝업 스토어를 열었다. 매장에서는 온라인에서 줄 수 없는 가치를 전달해야 경쟁에 뒤처지지 않을 수 있다. [라인프렌즈 제공] (저작권자 ⓒ 1980-2018 ㈜연합뉴스. 무단 전재 재배포 금지.)                          이번에는 온라인 및 현장 예약을 통해 방문상담을 받고 상담시간을 30분으로 고정했다. 수요가 있는 사람만을 골라 받는 대신 상담의 품질을 높인 것이다. 온라인에서 만난 고객에게 새로운 제품을 직접 체험해 볼 수 있도록 기회를 제공하는 동시에 처음 만난 고객에게도 유의미한 상담을 해 주며 두 마리 토끼를 잡았다.           이처럼 H사는 촉박한 팝업스토어 일정 중 데이터를 통해 조기에 문제를 발견하고 해결할 수 있었다. 두 번의 시도 끝에 어떻게 팝업스토어를 운영해야 비즈니스에 도움이 되는지 답을 찾은 것이다.           온라인과 오프라인을 나누어 관리하는 접근은 점점 무의미해질 것이다. 내 비즈니스에서 어떻게 두 세계를 연결해 활용할 수 있을지 힌트를 찾아야만 시대에 뒤처지지 않을 수 있다.            매장에서는 온라인에서 줄 수 없는 가치를 전달하면서 다른 경쟁사들과 차이를 만들고 브랜딩을 강화해야 빠르게 성장하는 온라인 시장에서 최대한 선점 효과를 누리거나 경쟁에 뒤처지지 않을 수 있다. 이미 다가온 미래를 준비하지 않으면 들어본 적도 없던 브랜드에 미래의 고객을 빼앗기는 무서운 일이 발생할 수 있다.           김재홍 조이코퍼레이션 부사장 press@zoyi.co                                               ▶ 중앙일보 '홈페이지' / '페이스북' 친구추가▶ 이슈를 쉽게 정리해주는 '썰리'ⓒ중앙일보(http://joongang.co.kr), 무단 전재 및 재배포 금지"
"경제","완성형 도시 하남 현안2지구서 호반건설 ‘하남 호반베르디움 에듀파크’ 분양","서울신문","2018-10-13 14:01","2018-10-13 14:01","// flash 오류를 우회하기 위한 함수 추가function _flash_removeCallback() {}[서울신문 나우뉴스]하남 현안2지구에서 마지막 신규 분양 단지가 공급 예정에 있어 눈길을 끈다. 최근 신도시, 택지지구 등 신흥 주거지 내에서도 마지막으로 분양하는 단지에 수요자들의 관심이 집중되고 있다.이러한 마지막 분양 단지들은 입주 시점에 편의시설, 문화시설, 교통, 학교 등 기반시설이 모두 갖춰져 있어 편리한 생활을 누릴 수 있기 때문이다. 게다가 마지막 물량인 만큼 희소성 프리미엄까지 누릴 수 있어 수요자들이 몰리고 있다.실제로, 지난해 7월 인천 청라지구에 마지막으로 공급된 ‘청라 호수공원 한신더휴’는 평균 14.37대 1, 최고 30.88대 1로 지난해 인천 최고경쟁률을 기록하며 청약 1순위 마감 했다. 마지막 공급물량이라는 희소 가치에 수요자가 몰리며, 계약 4일만에 완판하는 등 인기가 높았다.이러한 가운데, 완성형 도시인 하남 현안2지구에서 마지막 신규 분양 단지가 공급 예정에 있어 눈길을 끈다.호반건설이 이달 하남 현안2지구 A1블록에 공급하는 ‘하남 호반베르디움 에듀파크’다. 단지가 들어서는 하남 현안2지구는 대형 복합쇼핑몰인 스타필드를 비롯해 다양한 공원과 체육시설이 있는 유니온파크까지 조성돼 있는 도시개발사업지구로 풍부한 생활 인프라를 자랑하고 있어 지역민들에게 주거지로서 선호도가 높은 지역이다.특히 이 단지는 교통시설은 물론 자연, 문화, 편의시설을 원스톱으로 누릴 수 있는 입지에 들어서 수요자들의 관심이 집중되고 있다.지하철 5호선 덕풍역(개통 예정)을 걸어서 이용할 수 있고, 서울 주요 업무지구인 종로, 광화문, 여의도, 강남 등으로 출퇴근이 수월하다. 인근에 위치한 상일IC와 하남IC를 통해 서울외곽순환고속도로, 올림픽대로, 중부고속도로 이용도 편리하다.하남시청, 하남시보건소, 하남우체국, 신장2동주민센터 등의 공공기관 이용이 편리하고, 스타필드 하남, 이마트(하남점), 홈플러스(하남점) 등 대형 쇼핑시설도 쉽게 이용할 수 있다. 하남문화예술회관, 메가박스(하남스타필드점) 등 문화시설도 가깝다. 또, 미사강변도시도 가까워 생활 인프라 공유가 가능하다.주거환경도 쾌적하다. 단지 인근으로 덕풍천이 흐르고 있고, 주변에 크고 작은 공원이 많다. 또, 105m의 전망대와 함께 잔디광장, 생태연못, 어린이 물놀이장 및 다양한 체육시설 등이 조성돼 있는 유니온파크가 가까이 있어 가벼운 산책을 즐기기도 좋다.단지 바로 맞은편에 신장고등학교가 위치해 있고, 반경 500m 이내에 신평초&#8226;중, 신장초, 남한중 등이 위치해 있어 부모들이 안심할 수 있는 안전한 교육환경을 갖췄다.‘하남 호반베르디움 에듀파크’는 지하 3층~지상 25층, 6개 동, 전용 59㎡ 단일면적, 총 999가구 규모로 실수요가 선호하는 소형면적으로만 구성돼 있다. 타입별 가구수는 ▲59㎡A 290가구, ▲59㎡A-1 335가구, ▲59㎡A-2 118가구, ▲59㎡B 146가구, ▲59㎡C 110가구다.호반베르디움 분양 관계자는 “하남 현안2지구 마지막 공동주택 부지에 들어서는 민간분양 단지로 분양 이전부터 지역민의 관심이 높았다”면서 “단지가 입주할 때에는 다양한 생활 인프라를 이용할 수 있는 입지를 갖춘 만큼 향후 미래가치가 기대된다”고 전했다.하남 호반베르디움 에듀파크 견본주택은 경기도 하남시 신장동에 마련될 예정이다.나우뉴스부 nownews@seoul.co.kr★ [나우뉴스에서 통신원을 모집합니다] ▶ [인기 무료만화] [페이스북]ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지"
"경제","중소기업 정책자금은 ‘눈먼 돈’…브로커도 여전히 기승","세계일보","2018-10-13 13:47","2018-10-13 13:47","// flash 오류를 우회하기 위한 함수 추가function _flash_removeCallback() {}정책자금은 ‘눈먼 돈’이라는 오명에서 벗어나는 것이 녹록지 않은 것 같다. 중소기업 정책자금 운영의 부실 문제는 해마다 국정감사의 도마에 오르는데 좀처럼 고쳐지지 않고 있다. 국회 산업통상자원중소벤처기업위원회의 올해 중소벤처기업부 국정감사에서도 숱한 자료가 쏟아졌다.더불어민주당 최인호 의원은 중소벤처기업부 산하 중소기업진흥공단으로부터 제출받은 자료를 분석한 결과를 내놨다. 최근 9년간 정책자금을 10회 이상 중복지원 받은 중소기업은 총 53개, 규모는 2461억원에 달한다고 했다. 최 의원 분석을 보면 가장 지원을 많이 받은 H기업은 9년간 총 16회에 걸쳐 119억원을 지원받았다. 두 번째인 S기업은 15회에 65억원을 지급받았다.그런데 이들 기업의 실적은 평균 이하다. 지난 9년간 정책자금을 10회 이상 중복지원 받은 기업들의 평균 부채비율은 290.5%로 전체 중소제조기업 평균 부채비율(152.2%)보다 2배 가량 높았다. 영업이익률은 10회 이상 중복지원 받은 기업이 5.7%, 전체 중소제조기업이 5.3%로 큰 차이가 없었다. 중소기업의 체질을 개선하고 국제경쟁력을 키우라고 준 정책자금의 취지를 무색케 하는 결과다. 최 의원이 공개한 일부 기업은 영업이익률이 90%를 넘어서거나 자본잠식 상태인 경우도 있었다.최 의원은 “국민의 혈세로 구성된 정책자금이 한계기업의 연명수단이 되어선 안 된다”면서 “올 5월 중기부가 긴급경영안정자금, 운전자금에 대해서만 일부 조사를 실시했는데, 전수조사 등을 통해 지원방식을 정비할 필요가 있다”고 지적했다.더불어민주당 어기구 의원도 정책자금 중복 집행 문제를 분석한 보도자료를 통해 “일부 기업들에 대한 정책자금 중복지원이 퇴출되어야 할 좀비기업의 생명연장만 시켜주고 유망기업의 기회를 박탈하는 결과를 초래할 수 있어 정책자금 집행에 대한 제도보완이 필요하다”고 지적했다.‘정책자금 브로커’도 여전히 기승을 부리고 있다. 중기부는 올해만 중소기업 지원 정책자금 브로커 총 9개 업체를 적발해 고발했다. 이들 브로커는 △중소기업 상담 미등록 회사임에도 사업계획서 작성 등 업무 대행 △고액의 사업계획서 작성 대행료 요구 △지원받은 정책자금의 1.5%~10% 사이의 성공보수 시스템 운영 △전국적으로 과대광고가 담긴 현수막 게재 등의 수법을 썼다. 중기부의 연구·개발(R&D) 연구비 유용도 고질적이다. 민주평화당 조배숙 의원은 최근 5년간 중기부의 R&D 연구비 유용 건수가 총 151건, 113억원에 이른다고 밝혔다. 유형별로는 참여연구원 인건비 유용이 61건(23억원), 허위 연구비 지원 56건(69억원), 재료 및 부품 목적 외 사용 30건(16억원), 연구비 무단인출 4건(3억원) 등이다. 조 의원은 “중소기업의 연구개발 지원을 통해 중소기업의 경쟁력을 강화하기 위한 R&D 지원 예산이 국민 혈세임에도 불구하고 여전히 ‘눈먼 돈’으로 쓰이고 있다”며 “특정 유형의 불법 유용을 막기 위한 특단의 대책이 필요하다”고 말했다.&#160;이천종 기자 skylee@segye.comⓒ 세상을 보는 눈, 글로벌 미디어 세계일보"
"경제","동원F&B, 간식과 안주에 ‘딱좋은 치즈’ 2종 출시","머니S","2018-10-13 13:45","2018-10-13 13:45","// flash 오류를 우회하기 위한 함수 추가function _flash_removeCallback() {}동원F&B(대표이사 김재옥)가 간식과 안주로 활용하기에 알맞은 ‘딱좋은 치즈’ 2종을 출시했다.‘딱좋은 치즈’ 2종은 맛있고 영양이 풍부한 스낵치즈다. 주머니에 쏙 들어가는 크기라 언제 어디서나 간편하게 휴대할 수 있으며, 전자레인지에 7초만 데우면 치즈의 부드러운 식감과 고소한 풍미를 즐길 수 있다./ 동원F&B 제공 @머니S MNB, 식품 외식 유통 · 프랜차이즈 가맹 & 유망 창업 아이템의 모든 것‘간식에 딱좋은 치즈’는 아이들의 영양간식으로 안성맞춤인 제품으로, 담백한 치즈 본연의 맛을 즐길 수 있다. 낱개 포장으로 구성되어 출출할 때 언제 어디서나 즐기기 좋다.‘안주에 딱좋은 치즈’는 고추냉이가 들어가 독특한 풍미를 자아내는 치즈다. 최근 ‘혼술’ 트렌드에 따라 집에서 안주로 간편하게 즐기기 좋은 제품이다. 알싸하면서도 코 끝이 찡한 맛이 맥주나 와인과 잘 어울린다. ‘딱좋은 치즈 2종’의 가격은 20g 8개입에 7,980원이다.강동완 기자 <저작권자 ⓒ &#39;성공을 꿈꾸는 사람들의 경제 뉴스&#39; 머니S, 무단전재 및 재배포 금지>▶ 머니S 페이스북  ▶ 동영상으로 만나는 머니S  "
"경제","""기초연금 늘면 뭐 해""…빈곤노인 주머니 늘 그대로","연합뉴스TV","2018-10-13 13:44","2018-10-13 13:44","<h4 class=""blind"">동영상 뉴스</h4><iframe _src=""/main/readVod.nhn?oid=422&aid=0000342478"" width=""647"" height=""363"" frameborder=""0"" marginheight=""0"" marginwidth=""0"" title=""영상 플레이어"" allowfullscreen=""true"">// flash 오류를 우회하기 위한 함수 추가function _flash_removeCallback() {}""기초연금 늘면 뭐 해""…빈곤노인 주머니 늘 그대로[앵커] 연합뉴스TV 연중기획, 인구생태 변화보고서 일곱번째 순서입니다. 지난주부터 노인빈곤 문제를 짚어보고 있는데요. 복지예산은 해마다 10% 넘게 늘어나는데 정작 가장 가난한 노인들의 사정은 나아진 게 없다고 합니다. 이유가 뭘까요? 이준흠 기자가 취재했습니다.[기자]  김호태 할아버지는 서울 동자동 쪽방촌에서 사랑방을 운영하고 있습니다.동네사람 절반이 기초생활수급자인 곳입니다.<김호태 / 동자동사랑방 대표> ""술을 먹어도 방에 들어 앉아서 먹고 그러거든. 병원을 가자그래도 잘 안가요. 부담이 되니까…""원래대로면 50만원 정도의 생계급여를 받아야 하지만 실제 통장에 들어오는 돈은 25만원 뿐입니다.기초연금 25만원이 소득으로 잡혀 그 금액만큼 깎이기 때문입니다.정부가 일정을 앞당겨 내년부터 저소득층 노인에는 기초연금을 30만원까지 올릴 계획이지만 그래봐야 달라질 게 없다는 이야기입니다.젊은 시절 일을 하다 손목을 다친 최모 할아버지 사정도 비슷합니다.<최모씨 / 기초생활수급 노인> ""꼭 이돈이 모자라요. 20만원 정도. 모자르니까 목돈 자꾸 찾아쓰게 되죠. (집도) 낮은데로 옮기고 현찰 야금야금 다 쓰고…""답답한 마음에 일자리를 구해봤지만 몸이 불편하다보니 일주일도 안돼 그만 나오라는 통보를 받았습니다.사실상 생계급여가 수입의 전부인 셈입니다.올해 전체 복지예산은 지난해보다 12% 늘었는데도 생계급여는 1%, 1인가구 기준 6,000원 인상에 그쳤습니다.내년에도 2%만 오를 예정입니다.저소득 노인을 돕자고 기초연금을 도입했지만 정작 가장 가난한 노인들의 소득은 제자리인 반면, 기초생활수급 대상이 아닌 노인들이 온전한 연금을 받아 소득격차만 벌리는 결과가 된 겁니다.<오건호 / &#39;내가만드는 복지국가&#39; 공동위원장> ""기초연금이 25만원, 30만원까지 갈 예정이잖아요. 그러다보니까 기초연금으로 인해서 생기는 가난한 노인과 일반노인간의 역진적 격차, 형평성 문제가 너무 커져버린 거에요.""소득이 전 국민 중 중간인 사람의 절반도 안되는 노인의 비율은 46%. 기초연금 도입 뒤 조금 줄었지만 여전히 노인 절반은 빈곤에 시달리고 있습니다. 연합뉴스TV 이준흠입니다.humi@yna.co.kr연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23 ▶ 연합뉴스TV 네이버 채널 구독&#160;&#160; ▶ 생방송 시청 ▶ 대한민국 뉴스의 시작, 연합뉴스TV 앱 다운받기"
"경제","“현대상선에 연내 8천억원 수혈”…정부, 정상화 지원방안 마련","KBS","2018-10-13 13:43","2018-10-13 13:46","// flash 오류를 우회하기 위한 함수 추가function _flash_removeCallback() {} 정부가 현대상선에 연내 8천억원을 투입하며 경영 정상화를 지원합니다. 한국해양진흥공사와 산업은행 등에 따르면 정부는 최근 '현대상선 정상화 지원방안'을 마련, 현대상선에 연말까지 8천억원 규모의 자본을 확충하는 방안을 협의하고 있습니다. 현대상선이 신종자본증권(영구채)을 발행하면 현대상선 최대주주인 산업은행과 지난 7월 출범한 한국해양진흥공사가 각각 4천억원씩을 출자해 사들이는 방식이 검토되고 있습니다. 해양진흥공사 관계자는 ""구체적인 지원 방식과 규모는 아직 확정하지 못했지만, 조만간 확정된 지원방안을 발표할 것""이라고 말했습니다. 현대상선은 앞으로 5년간 초대형 친환경 컨테이너선 20척 건조, 부산신항 4부두 지분 매입, 컨테이너 박스 150만개 구매 등을 추진한다는 전략입니다. 여기에 5조원 이상이 들 것으로 예상되는데, 연내 수혈되는 출자금과 정부의 추가 선박금융지원 등을 합하면 자금 확보가 가능할 것으로 업계는 보고 있습니다. 해양진흥공사는 2020년까지는 산업은행과 함께 현대상선을 공동관리하고, 이후에는 관리 권한을 넘겨받아 구조조정을 주도할 방침입니다.[사진 출처 : 연합뉴스]김희용기자 (emaninny@kbs.co.kr)[저작권자ⓒ KBS 무단복제-재배포 금지]▶ 네이버 채널 KBS뉴스 구독! 시원하게 털어드립니다▶ ‘TV보다 리얼’한 색다른 뉴스!"
"경제","서울 휘발유 가격 리터당 1758.9원…가장 싼 지역은 어디?","동아일보","2018-10-13 13:32","2018-10-13 13:32","// flash 오류를 우회하기 위한 함수 추가function _flash_removeCallback() {}[동아닷컴]?1674.9원…20주째 1600원대 유지경기·인천도 1700원대 ‘바짝’휘발유 가격이 한 주 만에 리터(ℓ)당 15원 이상 급등하며 연중 최고치를 또다시 갈아치웠다. 1년9개월만에 최대 주간 상승폭이다.13일 한국석유공사 유가정보 서비스 오피넷에 따르면 10월 둘째주 기준 전국 주유소 휘발유 평균 가격은 전주보다 15.4원 오른 리터당 1674.9원을 기록했다.지난해 1월 첫째주(16.4원)에 이어 21개월만에 처음으로 주간 상승폭이 15원 이상을 기록한 것이다. 1600원대의 고공 행진은 20주 연속이다. 이번주 휘발유 가격은 지난해 평균치(1491.3원)보다 183.6원 높은 수준이다.지역별 주간 평균 휘발유 가격은 서울이 리터당 1758.9원으로 전국 평균 판매가격 대비 84원 높은 수준이다. 경기와 인천, 대전, 충북의 평균가격도 1684원을 기록해 1700원대에 바짝 다가섰다.최저가 지역인 대구는 리터당 1649.1원을 기록해 최고가 지역 평균 판매가격보다 109.8원 낮았다.석유공사는 “7주 연속 증가했던 국제 유가 상승분이 시차를 두고 반영됨에 따라 국내제품가격은 당분간 오름세를 유지할 것”이라고 전망했다.박태근 동아닷컴 기자 ptk@donga.com▶ 동아일보 단독 / 동아일보 공식 페이스북▶ 핫한 경제 이슈와 재테크 방법 총집결(클릭!)ⓒ 동아일보 & donga.com, 무단 전재 및 재배포 금지"
"경제","암웨이, 새 CEO에 밀린드 판트 '선임'...""전문경영체제로""","파이낸셜뉴스","2018-10-13 13:27","2018-10-13 13:27","// flash 오류를 우회하기 위한 함수 추가function _flash_removeCallback() {}-1959년설립이후첫전문CEO...내년1월직무돌입                                   암웨이가 전문경영체제에 돌입한다.  한국암웨이는 암웨이 글로벌 신임 최고경영자(CEO)로 밀린드 판트(48· 사진) 전 피자헛 인터내셔널 사장이 선임되었다고 13일 밝혔다.  판트 신임 CEO는 세계 최대 외식업체 얌브랜드 출신으로 피자헛 인터내셔널 사장 직을 역임하며 유럽 및 아시아 지역을 관장했다. 9000여개의 매장 관리와 더불어 전자상거래를 포함한 디지털 전략을 성공적으로 이끌었다는 평가를 받고 있다.  얌브랜드 이전에는 생활용품 기업 유니레버(Unilever)에서 14년간 재직하며 식품사업부 중동 및 아프리카 지역 부사장 직을 포함한 주요 직무를 수행했다. 인도 비를라공과대학에서 경영학 학사를 취득했으며, 인도 상공부 산하 대외무역대학에서 국제 비즈니스 석사 과정을 수료했다.  암웨이는 1959년 설립된 이후 지난 59년간 가족 경영 체제를 유지해 왔으며, 전문 CEO 선임은 이번이 최초다.  스티브 밴 엔델 회장은 ""밀린드 판트 신임 CEO는 암웨이 미래 전략인 '암웨이 넥스트(Amway Next)'를 효율적으로 견인할 것""이라면서 ""유수의 글로벌 기업에서 쌓은 다년간의 성공적 경험을 바탕으로 소비자들의 목소리를 반영한 혁신 전략과 함께 긍정적 변화를 이끌어 낼 것으로 기대한다""고 말했다.  한편, 그동안 암웨이를 이끌었던 창업주 가문 2세는 판트 CEO가 직무를 시작하는 내년 1월을 기점으로 이사회 멤버로서의 역할을 담당하게 된다. 암웨이의 가족 소유 기업 체제는 그대로 유지되며 창업주 가문의 적극적인 역할에도 변함이 없다.  스티브 밴 엔델 회장과 덕 디보스 사장은 향후에도 주요 의사결정에 대한 자문과 더불어 ABO(Amway Business Owner) 비즈니스 파트너들과의 지속적인 소통을 유지한다.   fnkhy@fnnews.com 김호연 기자   ▶ [이벤트] 파이낸셜뉴스 구독하고 푸짐한 선물 받으세요▶ 세상의 모든 골 때리는 이야기 'fn파스'  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
"경제","""현대상선에 연내 8,000억 투입""…정상화 방안 추진","연합뉴스TV","2018-10-13 13:24","2018-10-13 13:24","<h4 class=""blind"">동영상 뉴스</h4><iframe _src=""/main/readVod.nhn?oid=422&aid=0000342474"" width=""647"" height=""363"" frameborder=""0"" marginheight=""0"" marginwidth=""0"" title=""영상 플레이어"" allowfullscreen=""true"">// flash 오류를 우회하기 위한 함수 추가function _flash_removeCallback() {}""현대상선에 연내 8,000억 투입""…정상화 방안 추진적자누적으로 자본잠식 상태에 빠진 현대상선에 정부가 연내 8,000억원을 투입할 방침입니다.정부는 최근 '현대상선 정상화 지원방안'을 마련하고 현대상선에 연말까지 8,000억원 규모의 자본을 수혈하는 방안을 한국해양진흥공사·산업은행과 협의 중입니다.현대상선이 신종자본증권을 발행하면 최대주주인 산업은행과 한국해양진흥공사가 각각 4,000억원씩 사들이는 방식이 유력하게 검토되고 있습니다.현대상선은 이 자금으로 초대형 컨테이너선을 건조하고 부산신항 4부두 지분 매입에 나설 계획으로 알려졌습니다.연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23 ▶ 연합뉴스TV 네이버 채널 구독&#160;&#160; ▶ 생방송 시청 ▶ 대한민국 뉴스의 시작, 연합뉴스TV 앱 다운받기"
