"","x"
"1"," 
										어 형 싱글이야 
									"
"2"," 
										혼자왔니?
									"
"3"," 
										
									"
"4"," 
										정말 재밌게 본영화장첸역의 윤계상은 조연들보다 연기가 구림
									"
"5"," 
										
									"
"6"," 
										정말 재밌고 잘만들었다. 왜 깜짝흥행했는지 알겠음.  포스터는 구린데 영화는 진짜 잘만들었음연기들 진짜 잘한다. ㅋㅋㅋ 조선족들 왜케 웃기냐 ㅋㅋㅋ 중국 공안 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
									"
"7"," 
										시간 때우기 좋은 오락액션영화
									"
"8"," 
										
									"
"9"," 
										장첸이 너무 약하고 그 수하가 무지쎔
									"
"10"," 
										마동석을 보러갔다가 배우 윤계상을 발견했어요ㅋㅋ생각보다 굉장히 카리스마있고 연기도 잘하는 거 알게되었어요다만 조선족이 너무 폭력적으로 묘사되어   두려움이 생겨요.ㅠㅠ개인적으로 정말 재미있게 본 영화였어요잔인하니 잔인한거 못보시는 분들에게는 조심스럽게 비추천합니다..
									"
"11"," 
										이영화보고  윤계상오빠한테 빠졌어요..ㅜ ㅜ 
									"
"12"," 
										조선족을 주제로 했기 때문에 흥미로웠던거지, 완성도가 떨어지는 작품
									"
"13"," 
										영화는 재밌게 봤지만 이게 실화라면 참 무섭고 답답한 현실... 마동석의 원맨쇼인 듯 보이지만 윤계상의 연기변신이 제일 놀랍다
									"
"14"," 
										폭력의 신세계
									"
"15"," 
										니들~~~황해 못봤니?
									"
"16"," 
										아무생각없이 재밌음
									"
"17"," 
										
									"
"18"," 
										보다 조폭을 잔인하게 경찰이 손목아지를 자를 정도는 되야
									"
"19"," 
										도끼들고 사람 팔다리 자르는 짐승들을 맨손으로 잡는 슈퍼 히어로 경찰들이네..저런 광견들은 현장사살하는게 답인데.."
"20"," 
										
									"
"21"," 
										굿
									"
"22"," 
										우리나라 사람들 사이코패스들이 많나?? 영화가 그냥 짜증나지 않냐?? 그리고 이게 사실이면 우리나라 경찰들 문제 있는거 아니냐? 칼들고 도끼들고 사람죽이는 범죄자 짱꼴라들을  주먹으로 응징한다??ㅎㅎㅎ 
									"
"23"," 
										
									"
"24"," 
										왜이렇게 잔인하지..왜 천만.... 잔인히기만..통쾌할줄 알았는데 우웻..기승전잔인함  시간아깝다.이딴 영화가 흥행했다니
									"
"25"," 
										절대악 소탕은 영화의 최고의 소재다
									"
"26"," 
										연기도 좋고 시나리오도 좋고 구성도 좋고  마지막 하이라이트인 액션신이 그렇게까지 허접하지만 않았으면  최고의 오락액션영화로 꼽았을듯.
									"
"27"," 
										
									"
"28"," 
										
									"
"29"," 
										막장 조폭영화가리봉동 홍보영화윤계상의 하정우 따라하기
									"
"30"," 
										주조연 그밖의 배역들  연기에  최선을 다함
									"
"31"," 
										
									"
"32"," 
										실화타령 이제그만
									"
"33"," 
										영화 잘 빠졌네요. 주조연 가릴 것 없이 연기도 좋고요. 잔인한 부분이 청불치고 적어서 조금만 걷어내면 15세도 충분히 받았을 듯 싶은데 아쉽네요. 중간중간 마동석씨 허무개그? 도 포인트구요 ㅋ
									"
"34"," 
										
									"
